delta,theta,alpha,beta,gamma,f1,f2,f3,f4
4.029388006138876e+17,5.321309533756242e+17,5.2894772982434496e+17,2.3403112378481833e+18,1.9555618146311462e+18,93798589.14425431,4352313931.594486,219000000000.0,-5030000.0
5.60829161702379e+26,7.696687454877387e+26,7.692673607312872e+26,3.4569681583594193e+27,2.88222418181629e+27,4524095085747.131,168469595752655.06,7490000000000000.0,-5230000000000.0
5.56538018215457e+19,7.231073966867469e+19,6.673445733048779e+19,1.8475789083279222e+20,2.3216759009590845e+19,1489098785.6778612,35230980256.990746,946000000000.0,-5780000000.0
1.8475758614103745e+19,2.3851712122507416e+19,2.1915291037569155e+19,5.874920601423318e+19,6.443186283138443e+18,849102749.6216488,21569068210.110027,674000000000.0,-4630000000.0
3.548205011796657e+26,4.796960059633504e+26,4.79251918154102e+26,2.1516048378126514e+27,1.7954185304089906e+27,3736908195246.2354,133192780092206.05,4760000000000000.0,-11400000.0
1.007240012868602e+16,1.37501137782549e+16,1.375272090769568e+16,6.181799894389248e+16,5.093982286868552e+16,19491750.39711232,694149820.413171,26700000000.0,-94900000.0
5107944098705642.0,6862891813438633.0,6850136437319808.0,3.066397745195924e+16,2.540987810319342e+16,13584276.800305188,492823919.6717143,20900000000.0,-303000.0
4.4093096800357417e+18,5.580662795831981e+18,5.151036855408595e+18,1.4605897150547935e+19,3.3499211706305e+18,298150870.5345624,10980157166.36978,499000000000.0,-1760000000.0
4.0654770173764876e+21,5.428293272947088e+21,4.983462617155785e+21,1.3409681598443151e+22,1.5278487650055744e+21,9394504511.938831,327796936638.20734,12700000000000.0,-44600000000.0
9.886174865040168e+23,1.3197132350098604e+24,1.3173763716534505e+24,5.901367773151011e+24,4.928760168731015e+24,190840504974.64108,6987702932106.6875,301000000000000.0,-42100000.0
5.047494731601125e+23,6.779952554751647e+23,6.780200504129394e+23,3.0514019921370135e+24,2.542198042799988e+24,139326555016.04184,5015388186008.82,201000000000000.0,-31800000000.0
6431621327142766.0,8671866131699694.0,8536755050991889.0,3.618648307966967e+16,2.9249621330729892e+16,15653607.504642056,537327404.9916676,19900000000.0,-19700000.0
1.0022343925236446e+16,1.3753437496604134e+16,1.3517091546812896e+16,5.694972168333903e+16,4.574409034868821e+16,18078737.12239737,673408039.2352048,31700000000.0,-119000000.0
8294418031716754.0,1.1024919375842654e+16,1.0287767511881126e+16,3.4667460975031844e+16,2.2218429427991652e+16,17372261.36547229,474641159.6763779,18900000000.0,-7380.0
7936683895588590.0,1.0625858713428334e+16,1.0419980069406264e+16,4.326021068990437e+16,3.4452521043589744e+16,17283539.600384012,593644028.6283718,23300000000.0,-110000000.0
1355588095505629.5,1853904529172026.5,1850247070513595.5,8208680149233488.0,6540954152662819.0,7112294.429991121,250096643.2415702,10100000000.0,-40500000.0
1236376126085206.0,1667366567089983.8,1661618801465192.8,7419092256026245.0,6198520970405643.0,6795167.523348101,242890817.44743538,9600000000.0,-3880.0
5.169566183976176e+20,6.66315221372676e+20,6.175108483582295e+20,1.7793429635457276e+21,4.0629024615426766e+20,4361400913.803076,119120367488.2458,4550000000000.0,-19200000000.0
1.1277034152203344e+16,1.5314720276186164e+16,1.5069784846099724e+16,6.399567648648597e+16,5.167560349197276e+16,20523652.52398258,717077452.595444,29100000000.0,-133000000.0
1071948315146578.5,1434889419209653.5,1434639606495421.0,6460571296852792.0,5371555740386924.0,6047761.607165155,226687508.09797454,10200000000.0,-12500000.0
9.12824405137026e+19,1.2615179849879439e+20,1.247282027523378e+20,5.330094286927203e+20,4.035164417341919e+20,1368876786.1921215,58643226073.81664,2930000000000.0,-2800000000.0
6.815180078989225e+25,9.119225590627746e+25,9.127267828422784e+25,4.116557034258004e+26,3.425948347369867e+26,1591574287295.6484,58244025323429.73,2480000000000000.0,-2950000000000.0
1.4526806183738927e+25,1.9711926665623007e+25,1.97374931909527e+25,8.911294536603586e+25,7.411275549958366e+25,755786724432.3342,27046842327940.277,1010000000000000.0,-1790000000000.0
4.199739013218864e+24,5.722465327030464e+24,5.723451425233485e+24,2.5767578627498293e+25,2.146563664911922e+25,403780365897.1029,14550315934978.082,586000000000000.0,-310000000000.0
5614184497688242.0,7567576886278123.0,7443638840023098.0,3.145828102409892e+16,2.494478603274107e+16,14626599.04188923,492426850.53760654,18000000000.0,-83900000.0
3294934361031588.0,4480725368706146.0,4494255716295040.0,2.033667322696609e+16,1.6673588481558662e+16,11165721.436370652,397861407.984116,14500000000.0,-98100000.0
1.9071383759457733e+23,2.6032766177781543e+23,2.6039810864418812e+23,1.172587169489223e+24,9.763619135878436e+23,85647794245.30826,3102705761123.868,128000000000000.0,-128000000000.0
4.63790266223271e+26,6.197406174858994e+26,6.194970797825154e+26,2.7849070172865215e+27,2.321760208108711e+27,4138261888654.3486,151652916696492.38,6510000000000000.0,-5230000000000.0
7.784168343779713e+25,1.0499062903239131e+26,1.0511572252743556e+26,4.7446128497021856e+26,3.946807301094466e+26,1743744187056.1045,62457138345342.29,2370000000000000.0,-3830000000000.0
9.490348066333252e+23,1.2822151944295238e+24,1.282133260126906e+24,5.768838042986292e+24,4.807032557301564e+24,193120561641.36417,6892152264177.847,251000000000000.0,-80200000000.0
1117124662090310.0,1511998162075966.5,1513645424181150.0,6837635646224463.0,5673412473563185.0,6472277.169476923,232250268.4244288,9030000000.0,-23500000.0
2.8636996952734943e+25,3.894859204924537e+25,3.890929719158511e+25,1.7464770599798083e+26,1.4574977289396761e+26,1057136701023.2048,37924454654891.65,1500000000000000.0,-11900.0
4.416382117833499e+24,5.964892396565935e+24,5.972372294749134e+24,2.696207903831716e+25,2.2425538234516995e+25,416109157991.38983,14885565776159.463,552000000000000.0,-966000000000.0
1.675244545598413e+23,2.2380679867269293e+23,2.232750263771064e+23,9.984191514727186e+23,8.337205536541556e+23,79022020958.1336,2872426207624.9746,122000000000000.0,-40800000.0
8.671483781378296e+26,1.1737651079030092e+27,1.1747972235614076e+27,5.298478369970986e+27,4.4095767442602633e+27,5840945649054.719,208685970421446.34,7490000000000000.0,-10200000000000.0
1.0549634919282777e+25,1.437917299398584e+25,1.4400024782113436e+25,6.502909094243474e+25,5.403095040551741e+25,640406345638.7678,23080719554791.785,924000000000000.0,-1820000000000.0
1.3961660541945416e+16,1.8649610230338944e+16,1.8602964756309216e+16,8.281325488328837e+16,6.818958078562842e+16,21656067.680477943,813408387.0400585,37100000000.0,-175000000.0
3.0003742295262356e+27,4.1252135934150664e+27,4.123907844160978e+27,1.8541383777407593e+28,1.5452610547622248e+28,10338308247408.713,390048306025132.9,1.77e+16,-1690000000000.0
6029401158578303.0,8184279045038855.0,8192295429168068.0,3.6977877079893864e+16,3.0691399419377676e+16,15099536.932704158,539525907.832222,19900000000.0,-106000000.0
1.6223346689734172e+16,2.1986580356860468e+16,2.186009035172903e+16,9.659963593812059e+16,8.025727127334294e+16,24818099.376815986,876766722.2040519,31300000000.0,-3240000.0
808632338643876.8,1070128402856937.8,1008646738170581.0,3451629611933337.0,2171514830392138.0,5582427.300615843,164921217.8572271,5900000000.0,-24100000.0
4640089618606148.0,6180443455688666.0,5845665046975986.0,2.1003446894779944e+16,1.567132580684184e+16,13224534.655493878,425882884.0411033,17500000000.0,-61000000.0
6122483923813414.0,8269950951349716.0,8252702244800474.0,3.692853713210237e+16,3.067510993456788e+16,15147362.216239398,540442806.0343411,21100000000.0,-337000.0
2.165796686959818e+25,2.9109376092631617e+25,2.9074662539371114e+25,1.3043888397019392e+26,1.0886987243462443e+26,915972134598.956,32820368767076.285,1290000000000000.0,-968000000.0
1.1955053695742428e+16,1.6323183158265008e+16,1.6381581981985332e+16,7.441348421702222e+16,6.156708806889157e+16,21262284.15301283,762786313.5332992,28500000000.0,-153000000.0
1.8434108051443355e+20,2.4223074291950597e+20,2.2433350881060284e+20,6.387297599488857e+20,1.1180687052887502e+20,2695185355.466767,64644132035.153465,2100000000000.0,-11200000000.0
7.500178236203662e+25,1.022762661781323e+26,1.0238078963001498e+26,4.619185246909589e+26,3.84346681127059e+26,1704871790619.3179,61560368134472.59,2490000000000000.0,-3130000000000.0
5526213991789860.0,7506910092995148.0,7468574062798760.0,3.3184897434944412e+16,2.7787811508662668e+16,14476061.14766726,513100642.58173376,19100000000.0,-74100.0
763796179657362.6,999273278287618.6,934536043983073.2,3024260100219285.0,1558582143496990.5,5414717.260199584,147884650.17899802,5900000000.0,-13100000.0
5.890022897964137e+19,7.509629440816506e+19,6.889283323066131e+19,1.83786704098e+20,1.8752328586251497e+19,1422529208.4182022,37353817289.37606,1340000000000.0,-7010000000.0
7509553791836340.0,1.0031216033354278e+16,9686040780347256.0,3.7350159474203416e+16,2.5671126648163956e+16,16981573.85550663,532356054.80900145,20700000000.0,-72900000.0
1.0232585174088681e+18,1.417292094352507e+18,1.4076246876663255e+18,6.108886987066154e+18,4.700962859605567e+18,149356045.8415329,6889340746.357623,347000000000.0,-213000000.0
7.604655585346744e+23,1.0358408438004709e+24,1.0348480228368085e+24,4.6455756027449046e+24,3.8761647886675464e+24,171734330772.09604,6183745929266.365,250000000000000.0,-4920000.0
3061697127661374.0,4155478730515808.0,4151858727809083.0,1.8656173620462256e+16,1.5535881696194316e+16,10770580.877693912,383845083.409662,14000000000.0,-30300000.0
5639277471989013.0,7801156043166948.0,7803876177187466.0,3.5110898812792636e+16,2.901094003676404e+16,13683387.089140689,522308276.8422302,24100000000.0,-70700000.0
2042693432152629.5,2812778417741791.5,2808219380817864.0,1.2596853239283292e+16,1.0496292815281484e+16,8472247.433015147,314075525.1003966,13900000000.0,-7050.0
3.76630294023926e+24,5.060986075490414e+24,5.059213211757046e+24,2.2747000610247553e+25,1.8964424393566281e+25,381259544331.26746,13697825975459.906,544000000000000.0,-60200000.0
2323735424167529.0,3152628700323845.0,3155289283844973.0,1.424510896047081e+16,1.1834687808351202e+16,9371057.725707062,335088257.43987954,12500000000.0,-36000000.0
8.922475824994902e+26,1.203904493997564e+27,1.204382204830189e+27,5.425284291161579e+27,4.518354579270836e+27,5911427633329.0205,211325113873663.7,7910000000000000.0,-6030000000000.0
1.8648336389305207e+25,2.5401956813816977e+25,2.5431814983412113e+25,1.1478841313564113e+26,9.548862460556031e+25,852288171255.5443,30687579997295.973,1220000000000000.0,-1980000000000.0
1.9658290780067406e+19,2.6278072534560866e+19,2.4169397039139504e+19,6.5449612252758e+19,8.06219658264116e+18,639479428.288372,22782873382.26882,904000000000.0,-5260000000.0
8.555689310564267e+23,1.1619572135502972e+24,1.1621886836118538e+24,5.232670631986012e+24,4.358635495733318e+24,183240341865.08286,6558948845921.944,251000000000000.0,-80200000000.0
2495602480613598.0,3358699315691089.0,3290366985730087.0,1.3636351866086682e+16,1.0657272387930664e+16,9755511.501712749,328056045.63935333,11900000000.0,-6610000.0
6854678528622189.0,9047784908561324.0,8761077005128228.0,3.353858879181632e+16,1.902916423783282e+16,15708756.750270694,452064423.7710076,15000000000.0,-56400000.0
6.274323578444151e+26,8.47055054072996e+26,8.478863110903374e+26,3.825072756592901e+27,3.1829278225473044e+27,4958184640882.48,177350389796858.44,6610000000000000.0,-9130000000000.0
2805560443770172.0,3822325561919085.0,3809336591637341.0,1.693025856410366e+16,1.3890646755626092e+16,10293866.597076127,363566209.39500135,13800000000.0,-64000000.0
1.8575071989384317e+27,2.521131995245742e+27,2.5235924652448147e+27,1.1384479949641703e+28,9.473393012948386e+27,8544658905043.765,305784033098668.4,1.15e+16,-15000000000000.0
6318591656122309.0,8582205067682801.0,8487539689044723.0,3.680719837701757e+16,3.031045972204126e+16,15438124.074168973,542047059.8097062,21200000000.0,-1790000.0
8027783937523655.0,1.0938799762575512e+16,1.0823584045646076e+16,4.66633311541095e+16,3.693081035054898e+16,17282828.179003377,602864570.2303996,24600000000.0,-166000000.0
1948023317535452.5,2668477495505803.0,2667336105239003.0,1.1980376055788622e+16,9891487443761136.0,8500812.057043036,305784329.314803,12500000000.0,-20500000.0
8.594621258205913e+24,1.157397218050557e+25,1.1566795602947236e+25,5.197014695428127e+25,4.33446808214258e+25,578977100405.8712,20703722386208.574,793000000000000.0,-97700000.0
6786385476737330.0,8570592678373327.0,7723085438217801.0,2.0671414483406056e+16,1.212719051385694e+16,14054075.557219662,458210746.1695912,20700000000.0,-147000000.0
1.9156614621418217e+23,2.5886232083960886e+23,2.5876712717706297e+23,1.1633563554946436e+24,9.696412321537041e+23,86788022217.86366,3095509755474.9307,112000000000000.0,-96700000.0
4.443339862744694e+20,5.66703225337708e+20,5.215174062808478e+20,1.4320673699230796e+21,2.1472876888951695e+20,3902110571.3105307,107998514516.67125,4160000000000.0,-15100000000.0
1.1102919818485198e+18,1.4851412876079713e+18,1.3670377371607657e+18,3.749626765996422e+18,6.598353139501123e+17,159719579.9267466,5104043183.67861,213000000000.0,-1750000000.0
5218914627077450.0,6763884786764363.0,6041430266053445.0,1.4933958928417422e+16,7686164155656478.0,14203537.883195646,389990002.7129197,14800000000.0,-79500000.0
5.2844903145441894e+25,7.167227810197838e+25,7.176524278080035e+25,3.2401486612839836e+26,2.6949308231999013e+26,1441792310288.7458,51577865646758.35,1910000000000000.0,-3370000000000.0
2.761314242427393e+23,3.702973106921972e+23,3.7053551563632235e+23,1.670177787081567e+24,1.3902030151814893e+24,102354173378.32915,3709426987107.246,153000000000000.0,-139000000000.0
1.2541648363149826e+17,1.6508555740812934e+17,1.6039167424983994e+17,6.28033617380012e+17,3.895049159791489e+17,67137733.61286186,2078892777.8381944,93200000000.0,-66200000.0
5.87725225762172e+24,7.946529588966796e+24,7.95029440297919e+24,3.581480808347251e+25,2.9802674996004538e+25,480700529587.21136,17158088701578.244,620000000000000.0,-524000000000.0
1.5065643272336232e+16,2.0622163730830984e+16,2.0688869519835176e+16,9.387309163209835e+16,7.761361867809757e+16,23786798.664081976,855970086.4664005,33500000000.0,-175000000.0
2.705505893220341e+26,3.662785973871386e+26,3.660935502127738e+26,1.6453423238804944e+27,1.3721089301618122e+27,3263571718429.3447,116416487214195.12,4250000000000000.0,-129000000.0
1.9829786144466606e+24,2.676359115443018e+24,2.6731628775136655e+24,1.1993173262021388e+25,1.0011122735197587e+25,279099169410.9837,9947884820338.217,365000000000000.0,-2290000.0
5.532214150010025e+26,7.469276062680883e+26,7.466552644391875e+26,3.356908279832493e+27,2.798877151458329e+27,4660732692217.478,166318097620596.75,6110000000000000.0,-28700000.0
2440107092251266.5,3331268915491166.0,3330309611272947.0,1.4950905993303846e+16,1.2305399020216816e+16,9589693.657575179,341610547.2000596,13200000000.0,-61900000.0
5.747574839700532e+23,7.84136872900612e+23,7.838455957286319e+23,3.511758472005847e+24,2.8810796186298877e+24,148805624011.5582,5314507388996.235,219000000000000.0,-250000000000.0
6385102210562816.0,8458614924903323.0,7793253036922099.0,2.2899351205691816e+16,6901167208554749.0,15048412.957727669,372448605.39978766,12500000000.0,-6810000.0
1796272220138825.2,2461350848389961.5,2474363276105955.5,1.1287654914322522e+16,9300175606835218.0,8212058.439625792,296237699.80781007,11600000000.0,-104000000.0
1.091947475189674e+16,1.4261302404003612e+16,1.3665616033345388e+16,4.949114563848577e+16,2.374898407664275e+16,19070315.71192655,540094292.5953952,21200000000.0,-14300000.0
1.0032587816046386e+20,1.2684128520547376e+20,1.164521967089877e+20,3.1237499329627e+20,3.194541986677738e+19,1404463939.3355818,49811077848.41602,1880000000000.0,-8320000000.0
1.2287218081596246e+16,1.6745818883517748e+16,1.670819906999992e+16,7.480234399000893e+16,6.246801291721698e+16,21541818.704789374,768474141.3458397,29500000000.0,-13900000.0
1.1664456264803135e+23,1.5585800980793796e+23,1.5572511719079017e+23,6.99258778555286e+23,5.833054284864364e+23,65704237234.612885,2403999639782.5405,103000000000000.0,-25400000.0
6.44654973071517e+21,8.754809235398126e+21,8.754558084824416e+21,3.938570939082761e+22,3.277672100927574e+22,15904701497.30867,568884969454.8706,21800000000000.0,-3480000000.0
