delta,theta,alpha,beta,gamma,f1,f2,f3,f4,beta_alpha,gamma_power,theta_alpha,stress_index,engagement_index,is_focus,is_memory,is_relaxed,is_stressed,is_engaged,score,label
0.0,0.0,0.15788666059685771,0.05810930138509535,0.018968374074218957,0.07326840936031684,0.15550135261775455,0.6120054527986687,0.0005989036959263964,0.3680420696932654,0.018968374074218957,0.0,0.4881804896464994,0.3680420696932654,0,0,1,0,0,1,0
0.0,0.0,0.09255462938564897,0.027107031251654132,0.020303830158734694,0.04176813051192298,0.08251397301131809,0.33865516491729974,0.002212932642400281,0.2928728531325525,0.020303830158734694,0.0,0.5122417915051207,0.2928728531325525,0,0,1,0,0,1,0
0.0,0.0,0.032173352470375005,0.02363745597405955,0.010115818924160526,0.022391020835663657,0.028173006661580895,0.09890135160950268,0.0019986476634273912,0.7346676516900869,0.010115818924160526,0.0,1.0490739457553617,0.7346676516900869,0,0,1,0,0,1,0
0.0,0.0,0.14984420756856898,0.06582371843176042,0.07555751123773712,0.08926228891745673,0.05438072862052547,0.26456960443935446,0.014476127276784021,0.4392781023820169,0.07555751123773712,0.0,0.9435151912002369,0.4392781023820169,0,0,1,0,0,1,0
0.0,0.0,0.08768103614987993,0.06181562306513061,0.035419923012319714,0.061683051323115225,0.039253251470140756,0.13447533470225476,0.0056932053781847715,0.7049975773768029,0.035419923012319714,0.0,1.1089562964897397,0.7049975773768029,0,0,1,0,0,1,0
0.0,0.0,0.05070910799494935,0.03955991380105373,0.03745239279056075,0.041820332096904396,0.06555796963433681,0.186290862878959,0.0004079494650402771,0.7801189026257613,0.03745239279056075,0.0,1.5186776293058732,0.7801189026257613,0,0,1,1,0,2,0
0.0,0.0,0.0901402115395474,0.05445809331847288,0.032575979217299336,0.05790809434844813,0.08675812256112461,0.3121045317380779,0.005111882155952915,0.6041420166022577,0.032575979217299336,0.0,0.965530316813947,0.6041420166022577,0,0,1,0,0,1,0
0.0,0.0,0.10297171565817063,0.07988027552901705,0.06488156490213354,0.08190345790458459,0.04215543425487784,0.15732171018202876,0.010678073492841994,0.7757421470187161,0.06488156490213354,0.0,1.4058271601936148,0.7757421470187161,0,0,1,1,0,2,0
0.0,0.0,0.06792727752345668,0.03339644862074108,0.03138196514868712,0.04152553497840648,0.029448510727303024,0.11117511270150228,0.0034075410815205755,0.4916428008822802,0.03138196514868712,0.0,0.9536295653464673,0.4916428008822802,0,0,1,0,0,1,0
0.0,0.0,0.04694614105160884,0.034354865222219665,0.010458130486429807,0.0315285004956195,0.04785787974342391,0.14676046305913332,0.0007927210492553877,0.7317775790532904,0.010458130486429807,0.0,0.9545415270204993,0.7317775790532904,0,0,1,0,0,1,0
0.0,0.0,0.10985874532526027,0.12055145687771153,0.127988711920647,0.1197375927503326,0.06797932181745757,0.25435855453118483,0.03647486768404271,1.0973214667556024,0.127988711920647,0.0,2.262340660471304,1.0973214667556024,0,0,1,1,1,3,1
0.0,0.0,0.13533403653114026,0.0864049375640616,0.105576460993303,0.10343009316314163,0.09145511675726162,0.40504362108235215,0.01922340436042024,0.6384520947329115,0.105576460993303,0.0,1.4185639098208702,0.6384520947329115,0,0,1,1,0,2,0
0.0,0.0,0.04116090486123299,0.058069010809592515,0.031597225702508815,0.047224038045731706,0.06853420321519975,0.22073234709729303,0.0009412809329265693,1.4107464415302833,0.031597225702508815,0.0,2.1783791788642555,1.4107464415302833,1,0,1,1,1,4,1
0.0,0.0,0.05342235237593926,0.03618967382778041,0.024640547170821453,0.037610561800580374,0.06054993549400267,0.1887520147311528,0.0010576229785730596,0.6774130079504234,0.024640547170821453,0.0,1.138644774115645,0.6774130079504234,0,0,1,0,0,1,0
0.0,0.0,0.12161404024102244,0.07647765040853151,0.05359544699614918,0.08204119701355865,0.06827187602526047,0.32475565006588586,0.02544923712510895,0.6288502660276597,0.05359544699614918,0.0,1.069547789047273,0.6288502660276597,0,0,1,0,0,1,0
0.0,0.0,0.09351366956071053,0.06503840499739959,0.0848745394277185,0.07711625474580704,0.09959399281645591,0.31549128878602833,0.012168360476456768,0.6954887966018647,0.0848745394277185,0.0,1.6030954836213513,0.6954887966018647,0,0,1,1,0,2,0
0.0,0.0,0.06424696676772815,0.07168528019057963,0.05096088130339262,0.06464460211307002,0.03457802255410555,0.14552360993549357,0.014202125236100066,1.1157595142230594,0.05096088130339262,0.0,1.9089500830021224,1.1157595142230594,0,0,1,1,1,3,1
0.0,0.0,0.02354940787750936,0.01844617843614071,0.018865152023397173,0.019826729193296987,0.018951963843495945,0.05941272753701808,0.002201913044107177,0.7832636501279797,0.018865152023397173,0.0,1.5843178026300853,0.7832636501279797,0,0,1,1,0,2,0
0.0,0.0,0.12025684470522154,0.11650150983570091,0.044733990813615315,0.09949846379755965,0.0462160579301783,0.17107656294060766,0.027396898173543592,0.9687643256976023,0.044733990813615315,0.0,1.340748298329643,0.9687643256976023,0,0,1,1,0,2,0
0.0,0.0,0.1158224066957348,0.06957686757326265,0.03832105221205953,0.07332429851357988,0.03461737478850333,0.12610528737071797,0.018712329530698665,0.6007150847845405,0.03832105221205953,0.0,0.93157266621217,0.6007150847845405,0,0,1,0,0,1,0
0.0,0.0,0.024036475192466936,0.02452614040041859,0.012298470548000628,0.021346806635326187,0.026920986280734256,0.11353568359052783,0.0014897483242682567,1.0203293068027708,0.012298470548000628,0.0,1.5319666751007035,1.0203293068027708,0,0,1,1,1,3,1
0.0,0.0,0.08835709495353986,0.08581311324064354,0.05123823478865941,0.0778053890558716,0.05487801927783691,0.1812134231411936,0.017374628399959097,0.9711969603437636,0.05123823478865941,0.0,1.5510898927977887,0.9711969603437636,0,0,1,1,0,2,0
0.0,0.0,0.057817626654350945,0.07500285176825737,0.055789791560010585,0.06590328043771906,0.0366162525698109,0.16075220730985587,0.011201851209628655,1.2972091540090789,0.055789791560010585,0.0,2.2621195088248536,1.2972091540090789,1,0,1,1,1,4,1
0.0,0.0,0.07738990440820318,0.06273397647546722,0.03781665527309587,0.060168628158058374,0.041932576847945276,0.13275333142262066,0.004478043023525337,0.8106117502461649,0.03781665527309587,0.0,1.2992564503213773,0.8106117502461649,0,0,1,0,0,1,0
0.0,0.0,0.11886804028718202,0.1017193547029879,0.05367910851386614,0.09399646455175599,0.06945178948388599,0.28372049742907646,0.02419336179782835,0.8557262215395928,0.05367910851386614,0.0,1.3073081337362416,0.8557262215395928,0,0,1,1,0,2,0
0.0,0.0,0.060623075395070614,0.03821678905657319,0.024620608726011288,0.04041931555855708,0.06842227909914325,0.21608550307376528,0.001854029729731436,0.6303896398835738,0.024620608726011288,0.0,1.0365089673218149,0.6303896398835738,0,0,1,0,0,1,0
0.0,0.0,0.09675882772511475,0.1133116035586339,0.06562411925902559,0.09725153852535207,0.05637272501166444,0.2515681707364775,0.026910766156541824,1.1710604103238085,0.06562411925902559,0.0,1.849276988441923,1.1710604103238085,0,0,1,1,1,3,1
0.0,0.0,0.09013669442740188,0.06309158903010201,0.05249938652304374,0.06720481475266242,0.028648990993784804,0.12520263555515815,0.021837148226922096,0.6999467806547551,0.05249938652304374,0.0,1.2823822074375808,0.6999467806547551,0,0,1,0,0,1,0
0.0,0.0,0.17328538748752909,0.18991170682977923,0.115905031741731,0.16725345822220464,0.12030751847226102,0.3646911266631052,0.010642241286931028,1.0959412887723026,0.115905031741731,0.0,1.764805320288179,1.0959412887723026,0,0,1,1,1,3,1
0.0,0.0,0.12139409985268408,0.03297013830351204,0.028236778753017226,0.05389278880318135,0.10808463650642634,0.44661516611103536,0.0007785616178258793,0.2715936503493313,0.028236778753017226,0.0,0.5041959447358695,0.2715936503493313,0,0,1,0,0,1,0
0.0,0.0,0.13472381175476636,0.14593078993999675,0.1387321122937024,0.14132937598211556,0.07169370662590348,0.26797875544986965,0.03512873155296035,1.0831767960131067,0.1387321122937024,0.0,2.112921135505897,1.0831767960131067,0,0,1,1,1,3,1
0.0,0.0,0.13283977341931047,0.12444399480071106,0.10895166930644537,0.1226698580817945,0.06363590182089196,0.20577114201413207,0.008755822247888428,0.9367906524294686,0.10895166930644537,0.0,1.7569580340400874,0.9367906524294686,0,0,1,1,0,2,0
0.0,0.0,0.13333145591539275,0.11227778514416367,0.09383207678740474,0.11292977574778122,0.08742124670966361,0.3933101683000357,0.023985888417689324,0.8420889300607386,0.09383207678740474,0.0,1.5458341370563007,0.8420889300607386,0,0,1,1,0,2,0
0.0,0.0,0.07086121775826992,0.08756616604780051,0.09405890552568011,0.08501311384488776,0.03975161652681242,0.16677827255139008,0.03396881277259113,1.2357243227485801,0.09405890552568011,0.0,2.5630734871021477,1.2357243227485801,1,0,1,1,1,4,1
0.0,0.0,0.1073043767218482,0.08934816266076126,0.055856235429827754,0.0854642343682996,0.043323163204356356,0.1560380071580036,0.026740800541288048,0.8326531753610561,0.055856235429827754,0.0,1.3531884657278714,0.8326531753610561,0,0,1,1,0,2,0
0.0,0.0,0.04423316129454595,0.036079289561030084,0.04988307878794854,0.04156870480113867,0.06670905713722242,0.18159944098210712,0.0005666758175238628,0.8156431252485088,0.04988307878794854,0.0,1.9433479879176037,0.8156431252485088,0,0,1,1,0,2,0
0.0,0.0,0.05953551980857379,0.0637719725263418,0.04314289373548823,0.05755558964918641,0.09482310859095784,0.34871297759637926,0.001758438070107314,1.0711404148476624,0.04314289373548823,0.0,1.7957862939518565,1.0711404148476624,0,0,1,1,1,3,1
